Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Материал обивки,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг,Функция кресла-качалки,Страна производитель,Гарантия,Вес,Вес в упаковке,Размер упаковки,Weight
,,,,,,,,,,,,,,,,,,,,
"GM-GCHE2BR/1.png///GM-GCHE2BR/2.png///GM-GCHE2BR/3.png///GM-GCHE2BR/4.png///GM-GCHE2BR/5.png
",Игровые кресла///Gamdias,GM-GCHE2BR ,GAMDIAS,Кресло GAMDIAS HERCULES E2 (red),"Gamdias Hercules E2 это эргономичное игровое кресло, обеспечивающее максимальный комфорт. Кресло имеет подлокотники 2D, прочную стальную раму и подушки под шею и поясницу. Ортопедическая конструкция - для тех, кто любит играть много часов в день.

Широкое сиденье, высокая спинка
Стальная рама
Рассчитано на вес до 100 кг и рост до 180 см
Экокожа нового поколения – мягкая, дышащая и ""не потеющая""
Наполнитель высокой плотности
Настройка угла наклона спинки, высоты сиденья
Газлифт 4 класса",GM-GCHE2BR ,Игровое,Экокожа,Красный/Черный,Нерегулируемые,Высокая,до 150 градусов,до 100кг,Есть,Китай,12 месяцев,18 кг,"21,5 кг",88 х 65 х 33 см,18 кг
"GM-GCHE1BR/1.png///GM-GCHE1BR/2.png///GM-GCHE1BR/3.png///GM-GCHE1BR/4.png///GM-GCHE1BR/5.png///GM-GCHE1BR/6.png///GM-GCHE1BR/7.png///GM-GCHE1BR/8.jpg
",Игровые кресла///Gamdias,GM-GCHE1BR ,GAMDIAS,Кресло GAMDIAS HERCULES E1 (red),"На этом игровом кресле GAMDIAS HERCULES E1 вы можете играть весь день без намека на усталость. 
Настраиваемая RGB-подсветка, 10 различных эффектов
Ортопедическая конструкция - для тех, кто любит играть много часов в день
Широкое сиденье, высокая спинка
Стальной каркас
Рассчитано на вес до 120 кг и рост до 195 см
Экокожа нового поколения
Наполнитель высокой плотности
Подлокотники 2D, мягкие
Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию
Газлифт 4го класса
Кресло Hercules E1 полностью настраивается под индивидуальные предпочтения пользователя и обеспечивает максимальный комфорт при длительном использовании.",GM-GCHE1BR ,Игровое,Экокожа,Красный/Черный,2D,Высокая,до 150 градусов,до 120кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",	88 х 65 х 33 см,20 кг
"GM-GCHE2B/1.png///GM-GCHE2B/2.png///GM-GCHE2B/3.png///GM-GCHE2B/4.png///GM-GCHE2B/5.png///GM-GCHE2B/6.png
",Игровые кресла///Gamdias,GM-GCHE2B,GAMDIAS,Кресло GAMDIAS HERCULES E2 (black),"Gamdias Hercules E2 это эргономичное игровое кресло, обеспечивающее максимальный комфорт. Кресло имеет подлокотники 2D, прочную стальную раму и подушки под шею и поясницу. Ортопедическая конструкция - для тех, кто любит играть много часов в день.

Широкое сиденье, высокая спинка
Стальная рама
Рассчитано на вес до 100 кг и рост до 180 см
Экокожа нового поколения – мягкая, дышащая и ""не потеющая""
Наполнитель высокой плотности
Настройка угла наклона спинки, высоты сиденья
Газлифт 4 класса",GM-GCHE2B,Игровое,Экокожа,Черный,Нерегулируемые,Высокая,до 150 градусов,до 100кг,Есть,Китай,12 месяцев,18 кг,"21,5 кг",88 х 65 х 33 см,18 кг
"GM-GCHE1B/1.png///GM-GCHE1B/2.png///GM-GCHE1B/3.png///GM-GCHE1B/4.png///GM-GCHE1B/5.png///GM-GCHE1B/6.png///GM-GCHE1B/7.png///GM-GCHE1B/8.jpg
",Игровые кресла///Gamdias,GM-GCHE1B,GAMDIAS,Кресло GAMDIAS HERCULES E1 (black),"На этом игровом кресле GAMDIAS HERCULES E1 вы можете играть весь день без намека на усталость. 
Настраиваемая RGB-подсветка, 10 различных эффектов
Ортопедическая конструкция - для тех, кто любит играть много часов в день
Широкое сиденье, высокая спинка
Стальной каркас
Рассчитано на вес до 120 кг и рост до 195 см
Экокожа нового поколения
Наполнитель высокой плотности
Подлокотники 2D, мягкие
Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию
Газлифт 4го класса
Кресло Hercules E1 полностью настраивается под индивидуальные предпочтения пользователя и обеспечивает максимальный комфорт при длительном использовании.",GM-GCHE1B,Игровое,Экокожа,Черный,2D,Высокая,до 150 градусов,до 120 кг,Есть,Китай,12 месяцев,20 кг,"23,5 кг",	88 х 65 х 33 см,20 кг
"GM-GCHM1BR/1.png///GM-GCHM1BR/2.png///GM-GCHM1BR/3.png///GM-GCHM1BR/4.png///GM-GCHM1BR/5.png///GM-GCHM1BR/6.png///GM-GCHM1BR/7.png///GM-GCHM1BR/8.jpg
",Игровые кресла///Gamdias,GM-GCHM1BR,GAMDIAS,Кресло GAMDIAS HERCULES M1 (red),"GAMDIAS HERCULES M1 - это идеальное кресло для профессиональных геймеров. Благодаря высококачественным материалам, надежности и яркому дизайну, оно станет вашим любимым креслом.
Настраиваемая RGB-подсветка, 10 различных эффектов
Ортопедическая конструкция - для тех, кто любит играть много часов в день
Широкое сиденье, высокая спинка
Стальной каркас
Рассчитано на вес до 200 кг и рост до 200 см
Экокожа нового поколения – мягкая, дышащая и «не потеющая»
Наполнитель высокой плотности
Подлокотники 3D, карбоновые
Механизм «мультиблок»
Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию
Газлифт 4го класса
На этом игровом кресле Gamdias Hercules M1 вы можете играть весь день, не чувствуя усталости. Мягкие спинка и сиденье обеспечивают удобную поддержку. Кресло полностью настраивается под пользовательские предпочтения, а также имеет эффектную RGB-подсветку.
",GM-GCHM1BR,Игровое,Экокожа,Черный/Красный,3D,Высокая,до 150 градусов,до 200 кг,Есть,Китай,12 месяцев,"23,5 кг","26,7 кг",88 х 65 х 33 см,"23,5 кг"
"GM-GCHM1B/1.png///GM-GCHM1B/2.png///GM-GCHM1B/3.png///GM-GCHM1B/4.png///GM-GCHM1B/5.png///GM-GCHM1B/6.jpg///GM-GCHM1B/7.jpg
",Игровые кресла///Gamdias,GM-GCHM1B,GAMDIAS,Кресло GAMDIAS HERCULES M1 (black),"GAMDIAS HERCULES M1 - это идеальное кресло для профессиональных геймеров. Благодаря высококачественным материалам, надежности и яркому дизайну, оно станет вашим любимым креслом.
Настраиваемая RGB-подсветка, 10 различных эффектов
Ортопедическая конструкция - для тех, кто любит играть много часов в день
Широкое сиденье, высокая спинка
Стальной каркас
Рассчитано на вес до 200 кг и рост до 200 см
Экокожа нового поколения – мягкая, дышащая и «не потеющая»
Наполнитель высокой плотности
Подлокотники 3D, карбоновые
Механизм «мультиблок»
Настройка угла наклона спинки, высоты сиденья, уровня сопротивления качанию
Газлифт 4го класса
На этом игровом кресле Gamdias Hercules M1 вы можете играть весь день, не чувствуя усталости. Мягкие спинка и сиденье обеспечивают удобную поддержку. Кресло полностью настраивается под пользовательские предпочтения, а также имеет эффектную RGB-подсветку.
",GM-GCHM1B,Игровое,Экокожа,Черный,3D,Высокая,до 150 градусов,до 200 кг,Есть,Китай,12 месяцев,"23,5 кг","26,7 кг",88 х 65 х 33 см,"23,5 кг"