Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Материал обивки,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг),Функция кресла-качалки,Страна производитель,Гарантия,"Размеры упаковки, см","Объем упаковки, м3","Вес в упаковке, кг",Вес,Weight,ProductCodeToFind,Existance,Diller price,Max price,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"SM115_BK/1.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black);}///SM115_BK/2.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black);}///SM115_BK/3.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black);}///SM115_BK/4.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black);}///SM115_BK/5.png
#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black);}",Кресла для геймеров///Кресла HHGears,SM115_BK,HHGears,Игровое компьютерное кресло HHGears SM115 (Black),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-115.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 90 кг.</li>
	<li>Покрытие: искусственная кожа</li>
	<li>Класс пневмопатрона: третий.</li>
	<li>Высота: регулируется в диапазоне от 1,16 до 1,26 м.</li>
	<li>Ширина верхней части спинки: 54,5 см.</li>
	<li>Ширина нижней части спинки: 51 см.</li>
	<li>Высота спинки: 79 см.</li>
	<li>Ширина сиденья: 53 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 46 до 56 см.</li>
	<li>Нетто: 17 кг.</li>
	<li>Брутто: 15 кг.</li>
	<li>Размеры упаковочной коробки: 78 х 32 х 65 см</li>
	<li>Рекомендуемый рост пользователя: до 178 см.</li>
	<li>Рекомендуемый вес пользователя: до 90 кг.</li>
</ul>",SM115_BK,Игровое,Кожа PU,Черный,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,,17,17,17,,30,7342,10490,8440,8440,30,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(sm115_bk) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"SM115_BBL/1.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Blue);}///SM115_BBL/2.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Blue);}///SM115_BBL/3.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Blue);}///SM115_BBL/4.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Blue);}///SM115_BBL/5.png
#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Blue);}",Кресла для геймеров///Кресла HHGears,SM115_BBL,HHGears,Игровое компьютерное кресло HHGears SM115 (Black/Blue),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-115.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 90 кг.</li>
	<li>Покрытие: искусственная кожа</li>
	<li>Класс пневмопатрона: третий.</li>
	<li>Высота: регулируется в диапазоне от 1,16 до 1,26 м.</li>
	<li>Ширина верхней части спинки: 54,5 см.</li>
	<li>Ширина нижней части спинки: 51 см.</li>
	<li>Высота спинки: 79 см.</li>
	<li>Ширина сиденья: 53 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 46 до 56 см.</li>
	<li>Нетто: 17 кг.</li>
	<li>Брутто: 15 кг.</li>
	<li>Размеры упаковочной коробки: 78 х 32 х 65 см</li>
	<li>Рекомендуемый рост пользователя: до 178 см.</li>
	<li>Рекомендуемый вес пользователя: до 90 кг.</li>
</ul>",SM115_BBL,Игровое,Кожа PU,Черный/Синий,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,,17,17,17,,30,7342,10490,8440,8440,30,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(sm115_bbl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"SM115_BR/1.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Red);}///SM115_BR/2.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Red);}///SM115_BR/3.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Red);}///SM115_BR/4.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Red);}///SM115_BR/5.png
#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Red);}",Кресла для геймеров///Кресла HHGears,SM115_BR,HHGears,Игровое компьютерное кресло HHGears SM115 (Black/Red),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-115.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 90 кг.</li>
	<li>Покрытие: искусственная кожа</li>
	<li>Класс пневмопатрона: третий.</li>
	<li>Высота: регулируется в диапазоне от 1,16 до 1,26 м.</li>
	<li>Ширина верхней части спинки: 54,5 см.</li>
	<li>Ширина нижней части спинки: 51 см.</li>
	<li>Высота спинки: 79 см.</li>
	<li>Ширина сиденья: 53 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 46 до 56 см.</li>
	<li>Нетто: 17 кг.</li>
	<li>Брутто: 15 кг.</li>
	<li>Размеры упаковочной коробки: 78 х 32 х 65 см</li>
	<li>Рекомендуемый рост пользователя: до 178 см.</li>
	<li>Рекомендуемый вес пользователя: до 90 кг.</li>
</ul>",SM115_BR,Игровое,Кожа PU,Черный/Красный,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,,17,17,17,,30,7342,10490,8440,8440,30,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(sm115_br) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"SM115_BG/1.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Green);}///SM115_BG/2.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Green);}///SM115_BG/3.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Green);}///SM115_BG/4.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Green);}///SM115_BG/5.png
#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/Green);}",Кресла для геймеров///Кресла HHGears,SM115_BG,HHGears,Игровое компьютерное кресло HHGears SM115 (Black/Green),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-115.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 90 кг.</li>
	<li>Покрытие: искусственная кожа</li>
	<li>Класс пневмопатрона: третий.</li>
	<li>Высота: регулируется в диапазоне от 1,16 до 1,26 м.</li>
	<li>Ширина верхней части спинки: 54,5 см.</li>
	<li>Ширина нижней части спинки: 51 см.</li>
	<li>Высота спинки: 79 см.</li>
	<li>Ширина сиденья: 53 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 46 до 56 см.</li>
	<li>Нетто: 17 кг.</li>
	<li>Брутто: 15 кг.</li>
	<li>Размеры упаковочной коробки: 78 х 32 х 65 см</li>
	<li>Рекомендуемый рост пользователя: до 178 см.</li>
	<li>Рекомендуемый вес пользователя: до 90 кг.</li>
</ul>",SM115_BG,Игровое,Кожа PU,Черный/Зеленый,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,,17,17,17,,30,7342,10490,8440,8440,30,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(sm115_bg) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"SM115_BW/1.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/White);}///SM115_BW/2.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/White);}///SM115_BW/3.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/White);}///SM115_BW/4.png#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/White);}///SM115_BW/5.png
#{[ru]:Игровое компьютерное кресло HHGears SM115 (Black/White);}",Кресла для геймеров///Кресла HHGears,SM115_BW,HHGears,Игровое компьютерное кресло HHGears SM115 (Black/White),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-115.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 90 кг.</li>
	<li>Покрытие: искусственная кожа</li>
	<li>Класс пневмопатрона: третий.</li>
	<li>Высота: регулируется в диапазоне от 1,16 до 1,26 м.</li>
	<li>Ширина верхней части спинки: 54,5 см.</li>
	<li>Ширина нижней части спинки: 51 см.</li>
	<li>Высота спинки: 79 см.</li>
	<li>Ширина сиденья: 53 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 46 до 56 см.</li>
	<li>Нетто: 17 кг.</li>
	<li>Брутто: 15 кг.</li>
	<li>Размеры упаковочной коробки: 78 х 32 х 65 см</li>
	<li>Рекомендуемый рост пользователя: до 178 см.</li>
	<li>Рекомендуемый вес пользователя: до 90 кг.</li>
</ul>",SM115_BW,Игровое,Кожа PU,Черный/Белый,Не регулируются,Низкая,Нет,до 90 кг,Есть,Китай,12 месяцев,78 x 32 x 65 см,,17,17,17,,30,7342,10490,8440,8440,30,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(sm115_bw) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"XL500_BK/1.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black);}///XL500_BK/2.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black);}///XL500_BK/3.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black);}///XL500_BK/4.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black);}///XL500_BK/5.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black);}///XL500_BK/6.png
#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black);}",Кресла для геймеров///Кресла HHGears,XL500_BK,HHGears,Игровое компьютерное кресло HHGears XL500 (Black),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-500.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 130 кг.</li>
	<li>Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.</li>
	<li>Класс пневмопатрона: четвертый.</li>
	<li>Высота: регулируется в диапазоне от 1,26 до 1,36 м.</li>
	<li>Ширина верхней части спинки: 55 см.</li>
	<li>Ширина нижней части спинки: 50 см.</li>
	<li>Высота спинки: 83 см.</li>
	<li>Ширина сиденья: 54 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 47 до 57 см.</li>
	<li>Нетто: 20,5 кг.</li>
	<li>Брутто: 22,5 кг.</li>
	<li>Размеры упаковочной коробки: 83 х 65 х 32,5 см</li>
	<li>Рекомендуемый рост пользователя: до 193 см.</li>
	<li>Рекомендуемый вес пользователя: до 118 кг.</li>
</ul>",XL500_BK,Игровое,Кожа PU,Черный,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,,22.5,22.5,22.5,,20,13993,19990,16090,16090,20,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(xl500_bk) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"XL500_BBL/1.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Blue);}///XL500_BBL/2.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Blue);}///XL500_BBL/3.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Blue);}///XL500_BBL/4.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Blue);}///XL500_BBL/5.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Blue);}///XL500_BBL/6.png
#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Blue);}",Кресла для геймеров///Кресла HHGears,XL500_BBL,HHGears,Игровое компьютерное кресло HHGears XL500 (Black/Blue),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-500.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 130 кг.</li>
	<li>Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.</li>
	<li>Класс пневмопатрона: четвертый.</li>
	<li>Высота: регулируется в диапазоне от 1,26 до 1,36 м.</li>
	<li>Ширина верхней части спинки: 55 см.</li>
	<li>Ширина нижней части спинки: 50 см.</li>
	<li>Высота спинки: 83 см.</li>
	<li>Ширина сиденья: 54 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 47 до 57 см.</li>
	<li>Нетто: 20,5 кг.</li>
	<li>Брутто: 22,5 кг.</li>
	<li>Размеры упаковочной коробки: 83 х 65 х 32,5 см</li>
	<li>Рекомендуемый рост пользователя: до 193 см.</li>
	<li>Рекомендуемый вес пользователя: до 118 кг.</li>
</ul>",XL500_BBL,Игровое,Кожа PU,Черный/Синий,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,,22.5,22.5,22.5,,20,13993,19990,16090,16090,20,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(xl500_bbl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"XL500_BR/1.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Red);}///XL500_BR/2.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Red);}///XL500_BR/3.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Red);}///XL500_BR/4.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Red);}///XL500_BR/5.png#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Red);}///XL500_BR/6.png
#{[ru]:Игровое компьютерное кресло HHGears XL500 (Black/Red);}",Кресла для геймеров///Кресла HHGears,XL500_BR,HHGears,Игровое компьютерное кресло HHGears XL500 (Black/Red),"<p><strong>Технические характесристики</strong>
</p>
<ul>
	<li>Модель: SM-500.</li>
	<li>Расцветки: черная, черно-белая, черно-красная, черно-зеленая, черно-синяя.</li>
	<li>Выдерживаемый вес: до 130 кг.</li>
	<li>Материалы и компоненты: стальной каркас, специальный пенный наполнитель, металлическое основание, а также покрытие, изготовленное из искусственной кожи.</li>
	<li>Класс пневмопатрона: четвертый.</li>
	<li>Высота: регулируется в диапазоне от 1,26 до 1,36 м.</li>
	<li>Ширина верхней части спинки: 55 см.</li>
	<li>Ширина нижней части спинки: 50 см.</li>
	<li>Высота спинки: 83 см.</li>
	<li>Ширина сиденья: 54 см.</li>
	<li>Глубина сиденья: 48,5 см.</li>
	<li>Высота сиденья: регулируется в диапазоне от 47 до 57 см.</li>
	<li>Нетто: 20,5 кг.</li>
	<li>Брутто: 22,5 кг.</li>
	<li>Размеры упаковочной коробки: 83 х 65 х 32,5 см</li>
	<li>Рекомендуемый рост пользователя: до 193 см.</li>
	<li>Рекомендуемый вес пользователя: до 118 кг.</li>
</ul>",XL500_BR,Игровое,Кожа PU,Черный/Красный,3D,Высокая,до 135 градусов,до 130 кг,Есть,Китай,12 месяцев,83 x 65 x 32.5 см,,22.5,22.5,22.5,,20,13993,19990,16090,16090,20,Купить Игровое компьютерное кресло HHGears XL800 (Black/White)(xl500_br) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло HHGears XL800 (Black/White) ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
