Бренд,Category,Detailed image,Product code,Название,Артикул,Описание,Тип наушников,Режим работы,Тип звучания,Шумоизоляция,Кол-во динамиков в чашке,Размер динамиков (мм),Частотный диапазон наушников (Гц),Сопротивление (Ом),Чувствительность наушников (Дб),Микрофон,Частотный диапазон микрофона (Гц),Чувствительность микрофона (Дб),Звуковая карта,"Подключение, разъемы",Длина провода,Подсветка,Гарантия,Страна производитель
,,,,,,,,,,,,,,,,,,,,,,,,
Razer,Наушники,RZ12-01730100-R3G1/1.png///RZ12-01730100-R3G1/2.png///RZ12-01730100-R3G1/3.png///RZ12-01730100-R3G1/4.png///RZ12-01730100-R3G1/5.png///RZ12-01730100-R3G1/6.png///RZ12-01730100-R3G1/7.jpg///RZ12-01730100-R3G1/8.jpg///RZ12-01730100-R3G1/9.jpg///RZ12-01730100-R3G1/10.jpg///RZ12-01730100-R3G1/11.jpg,RZ12-01730100-R3G1,Razer Hammerhead V2,RZ12-01730100-R3G1,"Мы качественно поработали над внешним видом новых Razer Hammerhead v2. Обновленный дизайн и плоские кабели порадуют любителей мобильных игр. Вставные наушники мы оснастили большими 10-миллиметровыми динамиками. Они на 20% больше своих предшественников. Звук стал четче, а басы — еще внушительней, чем прежде. 

Три пары сменных накладок разного размера и дополнительные двухсекционные насадки обеспечат комфортную посадку и высокий уровень пассивной шумоизоляции. Где бы вы ни оказались, Razer Hammerhead v2 всегда позволит насладиться любимой музыкой или игрой. 

Большие 10-мм динамики для сверхточной передачи звука
Большие 10-миллиметровые динамики с доработанными внутренними акустическими камерами дают возможность насладиться превосходной точностью звучания и лучшим воспроизведением басов. В новой версии динамики на 20% больше, чем в оригинальных наушниках Razer Hammerhead. Теперь некачественный звук не будет портить удовольствие от игры или любимой музыки.

Новый дизайн и плоские кабели для прочности в движении
Наушники Razer Hammerhead v2 — аксессуар, который впишется в любой стиль одежды. Уделяя столь высокое внимание дизайну, наши инженеры не забыли о прочности. Качественный корпус, обеспечивающий превосходное звучание, дополнили плоскими кабелями, которые не путаются ни во время использования, ни во время хранения.

Улучшенная пассивная шумоизоляция благодаря двухсекционным насадкам
К наушникам Razer Hammerhead v2 прилагается три пары сменных насадок разного размера, а также дополнительные двухсекционные насадки. Каждый сможет подобрать для себя вариант, обеспечивающий комфортную посадку и нужный уровень шумоизоляции во время игры или прослушивания музыки.

Футляр в комплекте
Для удобства хранения при переноске в комплект входит жесткий футляр.",Затычки,Проводной,Стерео,Закрытые,1,10,20 – 20 000,32,102 ± 3,Нет,,,Нет,"3,5 мм","1,3 м",Нет,2 года,Китай
Razer,Наушники,RZ04-01730100-R3G1/1.png///RZ04-01730100-R3G1/2.png///RZ04-01730100-R3G1/3.png///RZ04-01730100-R3G1/4.png///RZ04-01730100-R3G1/5.png///RZ04-01730100-R3G1/6.png///RZ04-01730100-R3G1/7.jpg///RZ04-01730100-R3G1/8.jpg///RZ04-01730100-R3G1/9.jpg///RZ04-01730100-R3G1/10.jpg///RZ04-01730100-R3G1/11.jpg///RZ04-01730100-R3G1/12.jpg///RZ04-01730100-R3G1/13.jpg///RZ04-01730100-R3G1/14.jpg///RZ04-01730100-R3G1/15.jpg///RZ04-01730100-R3G1/16.jpg///RZ04-01730100-R3G1/17.png///RZ04-01730100-R3G1/18.png,RZ04-01730100-R3G1,Razer Hammerhead Pro V2,RZ04-01730100-R3G1,"Внешний вид гарнитуры Razer Hammerhead Pro заметно изменился, но прочность остается неизменной. Новый дизайн и плоские кабели порадуют поклонников мобильных игр. Вставные наушники мы оснастили 10-миллиметровыми динамиками — они на 20% больше своих предшественников. Звук стал четче, а басы — внушительней. 

В новой версии Razer Hammerhead Pro v2 на встроенном микрофоне появились 3 кнопки управления, функции которых совместимы с устройствами на базе iOS и Android. Три пары насадок разного размера и дополнительные двухсекционные насадки обеспечат нужный уровень шумоизоляции и позволят подобрать комфортную посадку. Пожалуй, новые Razer Hammerhead Pro v2 — самые адаптируемые из наших вставных наушников. 

Большие 10-мм динамики для сверхточной передачи звука
Большие 10-миллиметровые динамики с доработанными внутренними акустическими камерами дают возможность насладиться превосходной точностью звучания и лучшим воспроизведением басов. В новой версии динамики на 20% больше, чем в оригинальных наушниках Razer Hammerhead. Теперь некачественный звук не будет портить удовольствие от игры или любимой музыки.

Новый дизайн и плоские кабели для прочности в движении
Гарнитура Razer Hammerhead Pro v2 — аксессуар, который впишется в любой стиль одежды. Уделяя столь высокое внимание дизайну, наши инженеры не забыли о прочности. Качественный корпус, обеспечивающий превосходное звучание, дополнили плоскими кабелями, которые не путаются ни во время использования, ни во время хранения.

Улучшенная пассивная шумоизоляция благодаря двухсекционным насадкам
К наушникам Razer Hammerhead Pro v2 прилагается 3 пары сменных насадок разного размера, а также дополнительные двухсекционные насадки. Каждый сможет подобрать для себя вариант, обеспечивающий комфортную посадку и нужный уровень шумоизоляции во время игры или прослушивания музыки.

Встроенный микрофон с 3 кнопками для управления устройствами на базе iOS и Android
Компактный встроенный микрофон на гарнитуре Razer Hammerhead Pro v2 оснастили 3 кнопками дистанционного управления. С их помощью вы можете быстро прибавить громкость или ответить на входящий звонок.

Кабель для раздельного подключения аудио и микрофона, и футляр в комплекте
В комплект поставки Razer Hammerhead Pro v2 входит разделительный кабель. Он позволит подключить наушники к устройствам с отдельными разъемами для звука и микрофона. Для удобства хранения при переноске в комплект входит жесткий футляр.",Затычки,Проводной,Стерео,Закрытые,1,10,20 – 20 000,32,102 ± 3,ненаправленный,50 – 10000,-45 ± 3,Нет,"1 х 3,5 мм 4 pin","1,3 м, адаптер-переходник на 3,5 мм 4 pin",Нет,2 года,Китай
Razer,Наушники,RZ04-02420100-R3G1/1.jpg///RZ04-02420100-R3G1/2.jpg///RZ04-02420100-R3G1/3.jpg///RZ04-02420100-R3G1/4.png///RZ04-02420100-R3G1/5.png///RZ04-02420100-R3G1/6.png///RZ04-02420100-R3G1/7.png///RZ04-02420100-R3G1/8.png///RZ04-02420100-R3G1/9.png,RZ04-02420100-R3G1,Razer Hammerhead USB-C,RZ04-02420100-R3G1,"Сокрушительный бас
Качественный феноменальный звук — это то, что нужно каждому. Для получения полного удовлетворения от каждого выстрела и взрыва, когда крушишь врагов, или от дабстепа с супербасами. Наушники Razer Hammerhead USB-C обеспечат потрясающий эффект погружения, где бы вы ни находились.

Просто подключайтесь и наслаждайтесь звуком. Наушники Razer Hammerhead USB-C — это стиль и высокая точность передачи звука ваших устройств с разъемом USB-C. Слушайте качественные басы в пути благодаря увеличенным 10-мм динамикам и индивидуально настраиваемому цифроаналоговому преобразователю (ЦАП) с поддержкой 24-разрядного аудио.

Даже в уличной суете вы сможете полностью погрузиться в мир звука высочайшего качества благодаря шумоизолирующим двухсекционным насадкам. Оцените стиль и чувство полного контроля благодаря алюминиевому корпусу наушников, плоским кабелям и удобному встроенному пульту управления.

Разъем USB-C и индивидуально настроенный ЦАП
Именно такое звучание, каким оно и должно быть. В наушниках Razer Hammerhead USB-C используется индивидуально настроенный ЦАП, который воспроизводит чистый, необработанный звук, поступающий прямо от источника. Вы сможете слушать самый чистый и точный звук, где бы вы ни находились.

10-миллиметровые динамики для сверхточной передачи звука
Все необходимое для суперзвука. Наушники Razer Hammerhead USB-C укомплектованы не стандартными 6-мм, а 10-мм динамиками, которые воспроизводят более громкий и чистый звук. Кроме того, оптимизированные внутренние акустические камеры позволяют получить ясные и глубокие басы без искажений, благодаря чему приятно слушать любую музыку: от дэт-метала до легкого джаза.

Высокопрочный алюминиевый корпус и плоские кабели
Прочный незапутывающийся кабель. Эти наушники в легком, прочном и долговечном алюминиевом корпусе, подключаемые с помощью плоского кабеля, предназначены для использования в пути. К тому же тыльная сторона динамиков намагничена, поэтому их легко сложить, когда они не используются.

Двухсекционные насадки для максимальной пассивной звукоизоляции
Слушайте только то, что нужно. Специально спроектированные двухсекционные насадки естественным образом гарантируют пассивную звукоизоляцию, блокируя все нежелательные шумы. В комплект поставки наушников входят сменные насадки трех размеров, поэтому вы легко подберете наиболее удобный размер.

Встроенный микрофон и регулировка громкости
Контроль на кончиках ваших пальцев. Слушаете ли вы музыку, совершаете видеозвонок или с головой погружаетесь в новую игру, встроенный микрофон и регулировка громкости обеспечат простое и удобное управление.

Индивидуальный чехол для переноски
Портативность для удобства. Защита и аккуратность. Удобное хранение наушников обеспечит индивидуальный чехол для переноски. Он имеет корпус повышенной прочности на молнии.",Затычки,Проводной,Стерео,Закрытые,1,10,20 – 20 000,32,102 ± 3,ненаправленный,100-10000 Гц,-42,Нет,USB-C,"1,3 м",Нет,2 года,Китай
Razer,Наушники,RZ04-02090100-R3G1/1.png///RZ04-02090100-R3G1/2.png///RZ04-02090100-R3G1/3.png///RZ04-02090100-R3G1/4.png///RZ04-02090100-R3G1/5.png///RZ04-02090100-R3G1/6.png///RZ04-02090100-R3G1/7.png///RZ04-02090100-R3G1/8.png///RZ04-02090100-R3G1/9.png///RZ04-02090100-R3G1/10.png,RZ04-02090100-R3G1,Razer Hammerhead for iOS (Apple Lightning Connector),RZ04-02090100-R3G1,"Наушники Razer Hammerhead for iOS обеспечивают превосходную точность звуковоспроизведения благодаря сверхкрупным 10-миллиметровым динамикам и специализированному цифро-аналоговому преобразователю (ЦАП).

Они позволяют насладиться глубокими басами и превосходной четкостью звука для музыки, игр и всего остального.
Шумоизолирующие двухсекционные насадки позволяют полностью погрузиться в звуковую атмосферу, а пульт управления на проводе обеспечивает полноту контроля. Благодаря алюминиевому корпусу и плоскому кабелю эти внутриканальные наушники поистине сочетают в себе прочность и портативность.

Разъем Lightning и специализированный ЦАП для воспроизведения с высоким разрешением
Опыт компании Razer в создании признанных во всем мире наушников помог разработать специализированный ЦАП, который задействует цифровой выход с разъема Apple Lightning.
Благодаря этому звук подается напрямую из источника без какой-либо обработки, которую можно встретить в стандартных наушниках с разъемом 3,5 мм, создавая наиболее чистое и точное звучание в любых условиях.

10-миллиметровые динамики для сверхточной передачи звука
Наушники Razer Hammerhead for iOS оснащены 10-миллиметровыми динамиками и оптимизированными внутренними акустическими камерами, для воспроизведения любой вашей музыки, игрового звука и другого содержимого с превосходной четкостью звука и неискаженными глубокими басами.

Специализированное приложение Hammerhead iOS для обеспечения индивидуального звучания
С легкостью настраивайте мощные басы или чистое, четкое звучание благодаря приложению Hammerhead iOS. Можно выбрать предварительно заданные установки эквалайзера или настроить одну из установок для более точной реализации индивидуальных предпочтений. Приложение также позволяет управлять подсветкой наушников. Ее можно включить или выключить, а также выбрать эффект дыхания. Новые прошивки и обновления приложения также предоставляются с помощью этого единого приложения.

Высокопрочный алюминиевый корпус и плоские кабели сочетают прочность и портативность
Данные наушники заключены в легкий, надежный алюминиевый корпус и соединены плоским кабелем, предотвращающим перекручивание. Они поистине сочетают в себе прочность и портативность.
Кроме того, наушники Razer Hammerhead for iOS имеют специальные магниты для их соединения и ношения вокруг шеи, когда они не используются.

Двухсекционные насадки для пассивной звукоизоляции
В наушниках Razer Hammerhead for iOS реализована эффективная пассивная звукоизоляция с использованием специальных двухсекционных насадок, обеспечивающих естественный барьер от внешних шумов. Кроме того, вы в любой момент можете подобрать наиболее удобные насадки, выбрав среди трех прилагаемых размеров.

Пульт управления на проводе для iOS для осуществления мгновенного контроля
С помощью пульта управления на проводе вы сможете легко контролировать воспроизведение музыки и видео, звонки, игры и т. д. Во время разговора встроенный микрофон обеспечит абсолютную четкость звука.",Затычки,Проводной,Стерео,Закрытые,1,10,20 – 20 000,32,102 ± 3,ненаправленный,100-10000 Гц,-42,Нет,Apple Lightning Connector,"1,3 м",Нет,2 года,Китай
Razer,Наушники,RZ04-02090200-R3M1/1.png///RZ04-02090200-R3M1/2.png///RZ04-02090200-R3M1/3.png///RZ04-02090200-R3M1/4.png,RZ04-02090200-R3M1,Razer Hammerhead for iOS Mercury Edition,RZ04-02090200-R3M1,"Наушники Razer Hammerhead for iOS обеспечивают превосходную точность звуковоспроизведения благодаря сверхкрупным 10-миллиметровым динамикам и специализированному цифро-аналоговому преобразователю (ЦАП).

Они позволяют насладиться глубокими басами и превосходной четкостью звука для музыки, игр и всего остального.
Шумоизолирующие двухсекционные насадки позволяют полностью погрузиться в звуковую атмосферу, а пульт управления на проводе обеспечивает полноту контроля. Благодаря алюминиевому корпусу и плоскому кабелю эти внутриканальные наушники поистине сочетают в себе прочность и портативность.

Разъем Lightning и специализированный ЦАП для воспроизведения с высоким разрешением
Опыт компании Razer в создании признанных во всем мире наушников помог разработать специализированный ЦАП, который задействует цифровой выход с разъема Apple Lightning.
Благодаря этому звук подается напрямую из источника без какой-либо обработки, которую можно встретить в стандартных наушниках с разъемом 3,5 мм, создавая наиболее чистое и точное звучание в любых условиях.

10-миллиметровые динамики для сверхточной передачи звука
Наушники Razer Hammerhead for iOS оснащены 10-миллиметровыми динамиками и оптимизированными внутренними акустическими камерами, для воспроизведения любой вашей музыки, игрового звука и другого содержимого с превосходной четкостью звука и неискаженными глубокими басами.

Специализированное приложение Hammerhead iOS для обеспечения индивидуального звучания
С легкостью настраивайте мощные басы или чистое, четкое звучание благодаря приложению Hammerhead iOS. Можно выбрать предварительно заданные установки эквалайзера или настроить одну из установок для более точной реализации индивидуальных предпочтений. Приложение также позволяет управлять подсветкой наушников. Ее можно включить или выключить, а также выбрать эффект дыхания. Новые прошивки и обновления приложения также предоставляются с помощью этого единого приложения.

Высокопрочный алюминиевый корпус и плоские кабели сочетают прочность и портативность
Данные наушники заключены в легкий, надежный алюминиевый корпус и соединены плоским кабелем, предотвращающим перекручивание. Они поистине сочетают в себе прочность и портативность.
Кроме того, наушники Razer Hammerhead for iOS имеют специальные магниты для их соединения и ношения вокруг шеи, когда они не используются.

Двухсекционные насадки для пассивной звукоизоляции
В наушниках Razer Hammerhead for iOS реализована эффективная пассивная звукоизоляция с использованием специальных двухсекционных насадок, обеспечивающих естественный барьер от внешних шумов. Кроме того, вы в любой момент можете подобрать наиболее удобные насадки, выбрав среди трех прилагаемых размеров.

Пульт управления на проводе для iOS для осуществления мгновенного контроля
С помощью пульта управления на проводе вы сможете легко контролировать воспроизведение музыки и видео, звонки, игры и т. д. Во время разговора встроенный микрофон обеспечит абсолютную четкость звука.",Затычки,Проводной,Стерео,Закрытые,1,10,20 – 20 000,32,102 ± 3,ненаправленный,100-10000 Гц,-42,Нет,Apple Lightning Connector,"1,3 м",Нет,2 года,Китай
Razer,Наушники,RZ04-01930100-R3G1/1.jpg///RZ04-01930100-R3G1/2.jpg///RZ04-01930100-R3G1/3.jpg///RZ04-01930100-R3G1/4.jpg///RZ04-01930100-R3G1/5.jpg///RZ04-01930100-R3G1/6.jpg///RZ04-01930100-R3G1/7.jpg///RZ04-01930100-R3G1/8.jpg///RZ04-01930100-R3G1/9.jpg///RZ04-01930100-R3G1/10.jpg///RZ04-01930100-R3G1/11.jpg///RZ04-01930100-R3G1/12.jpg,RZ04-01930100-R3G1,"Razer Hammerhead BT, Bluetooth",RZ04-01930100-R3G1,"Длительное наслаждение чистым звуком без пут с беспроводными вставными наушниками Razer Hammerhead BT. Благодаря вручную настроенным 10-мм динамикам, впечатляющему времени работы аккумулятора, а также совместимому с iOS и Android пульту управления на проводе с микрофоном, вы можете брать с собой эти прочные вставные наушники всюду, куда вас забросит жизнь.

Большие 10-мм динамики для сверхточной передачи звука
В сравнении с традиционными данамиками для наушников в 6 мм, динамики Razer Hammerhead BT значительно больше и позволяют наслаждаться более громким и чистым звуком. Каждый динамик настраивается вручную, обеспечивая характерное звучание, которое вы любите — от глубоких басов в электронных трэках до высоких нот в увертюрах.

До 8 часов непрерывного наслаждения от прослушивания на одной зарядке
Обладая потрясающим временем действия аккумулятора до 8 часов, гарнитура Razer Hammerhead BT обеспечивает длительную бесперебойную высококачественную работу. Теперь вы можете легко и беззаботно провести день, начиная с утренней поездки на работу и заканчивая вечерней пробежкой.

Улучшенная пассивная шумоизоляция благодаря двухсекционным насадкам
К наушникам Razer Hammerhead BT прилагается 3 пары сменных насадок разного размера, а также дополнительные двухсекционные насадки. Каждый сможет подобрать для себя вариант, обеспечивающий комфортную посадку и нужный уровень шумоизоляции во время игры или прослушивания музыки.

Пульт управления на проводе, совместимый с iOS и Android
Когда вы находитесь в движении, важно сохранять контроль над вашим мобильным устройством. У гарнитуры Razer Hammerhead BT имеется пульт управления на проводе, совместимый с iOS и Android, который позволяет легко ответить на звонок или перейти к следующему треку.

Исключительное качество звука благодаря Bluetooth 4.1
В гарнитуру Razer Hammerhead BT встроен Bluetooth® 4.1, который использует обновленный кодек aptX®, так что нет никаких компромиссов к качеству звука. Наслаждайтесь исключительным звуком, без хлопот с кабелями.",Затычки,Проводной,Стерео,Закрытые,1,10,20 – 20 000,32,116 ± 3,ненаправленный,300-3400,-42 ± 3,Нет,Bluetooth,Нет,Зеленая,2 года,Китай
Razer,Наушники,RZ04-01720100-R3R1/1.png///RZ04-01720100-R3R1/2.png///RZ04-01720100-R3R1/3.png///RZ04-01720100-R3R1/4.png///RZ04-01720100-R3R1/5.png///RZ04-01720100-R3R1/6.png,RZ04-01720100-R3R1,Razer Kraken Essential,RZ04-01720100-R3R1,"Гарнитуры серии Razer Kraken уже стали эталонными гарнитурами для геймеров по всему миру. Превосходный звук с мощными басами, удобная конструкция, яркий внешний вид, возможность подключения к мобильным устройствам и ПК, разнообразие комплектаций и подключений – все это удачно воплощено в гарнитурах серии Razer Kraken. 

Новая гарнитура Razer Kraken Essential обладает тем базовым набором характеристик, благодаря которым Razer Kraken и обрела свою колоссальную популярность среди геймеров. Чтобы сделать Razer Kraken Essential доступнее, применена конструкция с поворотным гибким микрофоном без складывания наушников и 32 мм динамики на неодимовых магнитах. Большие мягкие амбушюры и мягкое оголовье обеспечивают максимальный комфорт при самой длительной игре.

Полноразмерная конструкция
Гарнитура Razer Kraken Essential протестирована профессиональными геймерами и спортсменами, чтобы мы могли подобрать оптимальный вес для долгих игровых сессий и максимально комфортного использования ее в дороге.

Превосходная звукоизоляция для игрового звука высочайшего качества
Гарнитура Razer Kraken Essential снабжена динамиками с неодимовыми магнитами, для высококлассного звука с сочными глубокими басами. Закрытая конструкция наушников создает идеальную звукоизоляцию и позволяют полностью сосредоточиться на игре или разговоре, не отвлекаясь на посторонние звуки.

Однонаправленный аналоговый микрофон
Однонаправленный микрофон гарнитуры Razer Kraken Essential передает ваши команды и речь, как будто вы находитесь рядом с вашими друзьями.",Полноразмерные,Проводной,Стерео,Закрытые,1,32,20 – 20 000,24,105 ± 4,Однонаправленный,100-10000,-40 ± 4,Нет,"3,5 мм комбинированный","1,3 м в резиновой оплетке + 1,2 метра, переходник-разветвитель",Нет,2 года,Китай
Razer,Наушники,RZ04-02210100-R3M1/1.png///RZ04-02210100-R3M1/2.png///RZ04-02210100-R3M1/3.png///RZ04-02210100-R3M1/4.png///RZ04-02210100-R3M1/5.png///RZ04-02210100-R3M1/6.png///RZ04-02210100-R3M1/7.png///RZ04-02210100-R3M1/8.png///RZ04-02210100-R3M1/9.png///RZ04-02210100-R3M1/10.png,RZ04-02210100-R3M1,Razer Electra V2,RZ04-02210100-R3M1,"Razer Electra V2 — это гарнитура будет незаменима как во время игры на компьютере или консолях, так и при обычном прослушивании любимых треков с телефона. Razer Electra V2 является необычайно универсальной гарнитурой и оснащена специально настроенными 40-миллиметровыми динамиками, что открывает доступ к широкому спектру возможных развлечений, включая игры и фильмы. 

Благодаря съемному направленному микрофону вы сможете насладиться полным погружением в музыку, когда не требуется отдавать голосовые команды в игре. Удобный и надежный, легкий алюминиевый корпус и амбушюры из превосходной искусственной кожи позволяют Razer Electra V2 сопровождать вас везде. Это идеальная повседневная гарнитура, обеспечивающая заряд энергии в независимости от рода развлечений: от игр до музыки.

Настроенные 40-миллиметровые динамики для ежедневного прослушивания
Razer Electra V2 может похвастаться высококачественными 40-миллиметровыми динамиками особой настройки, которые расширяют звучание высокоточными басами и обеспечивают превосходное сбалансированное качество звука для любых ваших нужд, включая игры и прослушивание музыки.

Цельный алюминиевый корпус для дополнительной прочности
Благодаря гибкому алюминиевому корпусу, обеспечивающему легкость и прочность, гарнитура Razer Electra V2 выдержит любые взлеты и падения. Автоматически регулируемое оголовье позволит носить гарнитуру с комфортом в течение длительного времени.

Виртуальный объемный звук 7.1 для полного погружения
Вдохните жизнь в звуковое окружение благодаря Razer Surround. Это продвинутое программное обеспечение виртуального объемного звука 7.1 позволяет калибровать параметры гарнитуры специально под ваши уши для получения индивидуальных, точных и всесторонних ощущений от объемного звучания.

Элементы управления на гарнитуре и съемный направленный микрофон
Razer Electra V2 — это чрезвычайно универсальная гарнитура, оснащенная удобными элементами управления звуком и съемным направленным микрофоном, который обеспечит необходимую четкость речи во время игр. Снимите микрофон и обеспечьте полную вовлеченность и сосредоточенность при прослушивании любимых музыкальных композиций.

Разъем 3,5 мм для поддержки различных платформ
Razer Electra V2 поставляется с универсальным разъемом 3,5 мм для аудио и микрофона. Это означает, что вы сможете насладиться выдающимся качеством звука и речи при использовании компьютера, Mac, Xbox, PS4 или любого мобильного устройства, оснащенного комбинированным аудиоразъемом 3,5 мм.

Амбушюры из превосходной искусственной кожи для отличной звукоизоляции
Благодаря подвижным амбушюрам из искусственной бархатистой кожи, обеспечивающими идеальную посадку на ваши уши, Razer Electra V2 предоставляет превосходную звукоизоляцию и гарантирует, что вы услышите только то, что нужно вам.",Полноразмерные,Проводной,Виртуальный объемный звук 7.1,Закрытые,1,40,20 – 20000,32 ± 15,105 ± 3 при 1 кГц макс.,Направленный,100-10000,-41 ± 3,Нет,3.5 мм,1.3 м + 1 м переходник,Нет,2 года,Китай
