Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип стола,Цвет,Ширина столешницы,Максимальная нагрузка        ,Подсветка,Управление подсветкой,Материал столешницы,Материал рамы,Тип рамы,Подключение подсветки,Длина USB-кабеля подсветки,Размеры (ш x г x в),Вес,Гарантия,Weight
,,,,,,,,,,,,,,,,,,,,,
"AD3-M/1.png///AD3-M/2.png///AD3-M/3.png///AD3-M/4.png///AD3-M/5.png///AD3-M/6.png///AD3-M/7.png///AD3-M/8.png
",Игровые столы///ThunderX3,AD3-M,ThunderX3,Игровой компьютерный стол ThunderX3 AD3-HEX M,"Компьютерный стол ThunderX3 AD3 обеспечивает максимальную производительность, комфорт и стиль для геймеров и всех, кто проводит долгие часы за компьютером. За ним вы почувствуете себя 100% победителем!
Вместо скучных прямых углов – трапециевидный дизайн «истребитель», более комфортный для запястий и предплечий даже после многочасовой сессии за компьютером

Особенности:
Крепкая надежная конструкция
HEX - RGB подсветка
Столешница из высококачественного ДСП толщиной 25 мм
Металлическая рама с фиксированной высотой столешницы
Канавки для кабель-менеджмента
Регулируемые ножки для обеспечения 100% устойчивости


СОЗДАЙТЕ СВОЮ ИГРОВУЮ СТАНЦИЮ
Превратите своё рабочее место с игровым столом AD3 в комфортное место для игр.

РАЗРАБОТАН ДЛЯ КИБЕРСПОРТСМЕНОВ
Благодаря высококачественным материалам, конструкция компьютерного стола AD3 имеет прочную стальную раму, обеспечивающую долговечность и дополнительную поддержку. Металлические крылья по бокам стола добавляют агрессивности в общий стиль.

ПОДСВЕТКА HEX ИЗ 16.8 МИЛЛИОНОВ ЦВЕТОВ
Изменяйте эффекты подсветки из 16,8 миллионов цветов компьютерного стоила AD3 одним нажатием кнопки на беспроводном пульте дистанционного управления HEX.

СПЕЦИАЛЬНАЯ ПОВЕРХНОСТЬ СТОЛА
Специальная текстурированная поверхность стола AD3, позволяет использовать игровую мышь без коврика и гарантирует сверхточную работу сенсора без срывов.

КАБЕЛЬ МЕНЕДЖМЕНТ
Встроенные канавки на столе позволяют эффективно управлять кабель-менеджментом, обеспечивая грамотное распределение места на столе.",AD3-M,Игровой,Черный,120 см,50 кг,HEX-RGB,Пульт ДУ с магнитным креплением,Высококачественный ДСП толщиной 25 мм с влагозащищенной поверхностью,"Сталь, покрытая порошковой краской",Фиксированная,USB-порт (USB адаптер в комплект не входит),1.8 м,128 x 70 x 74 см,52 кг,1 год,52 кг
"AD3-L/1.png///AD3-L/2.png///AD3-L/3.png///AD3-L/4.png///AD3-L/5.png///AD3-L/6.png///AD3-L/7.png///AD3-L/8.png
",Игровые столы///ThunderX3,AD3-L,ThunderX3,Игровой компьютерный стол ThunderX3 AD3-HEX L,"Компьютерный стол ThunderX3 AD3 обеспечивает максимальную производительность, комфорт и стиль для геймеров и всех, кто проводит долгие часы за компьютером. За ним вы почувствуете себя 100% победителем!
Вместо скучных прямых углов – трапециевидный дизайн «истребитель», более комфортный для запястий и предплечий даже после многочасовой сессии за компьютером

Особенности:
Крепкая надежная конструкция
HEX - RGB подсветка
Столешница из высококачественного ДСП толщиной 25 мм
Металлическая рама с фиксированной высотой столешницы
Канавки для кабель-менеджмента
Регулируемые ножки для обеспечения 100% устойчивости


СОЗДАЙТЕ СВОЮ ИГРОВУЮ СТАНЦИЮ
Превратите своё рабочее место с игровым столом AD3 в комфортное место для игр.

РАЗРАБОТАН ДЛЯ КИБЕРСПОРТСМЕНОВ
Благодаря высококачественным материалам, конструкция компьютерного стола AD3 имеет прочную стальную раму, обеспечивающую долговечность и дополнительную поддержку. Металлические крылья по бокам стола добавляют агрессивности в общий стиль.

ПОДСВЕТКА HEX ИЗ 16.8 МИЛЛИОНОВ ЦВЕТОВ
Изменяйте эффекты подсветки из 16,8 миллионов цветов компьютерного стоила AD3 одним нажатием кнопки на беспроводном пульте дистанционного управления HEX.

СПЕЦИАЛЬНАЯ ПОВЕРХНОСТЬ СТОЛА
Специальная текстурированная поверхность стола AD3, позволяет использовать игровую мышь без коврика и гарантирует сверхточную работу сенсора без срывов.

КАБЕЛЬ МЕНЕДЖМЕНТ
Встроенные канавки на столе позволяют эффективно управлять кабель-менеджментом, обеспечивая грамотное распределение места на столе.",AD3-L,Игровой,Черный,160 см,50 кг,HEX-RGB,Пульт ДУ с магнитным креплением,Высококачественный ДСП толщиной 25 мм с влагозащищенной поверхностью,"Сталь, покрытая порошковой краской",Фиксированная,USB-порт (USB адаптер в комплект не входит),1.8 м,168 x 70 x 74 см,58 кг,1 год,58 кг
"AD7-M/1.png///AD7-M/2.png///AD7-M/3.png///AD7-M/4.png///AD7-M/5.png///AD7-M/7.png///AD7-M/8.png///AD7-M/9.png///AD7-M/10.png
",Игровые столы///ThunderX3,AD7-M,ThunderX3,Игровой компьютерный стол ThunderX3 AD7-HEX M,"Компьютерный стол ThunderX3 AD7 обеспечивает максимальную производительность, комфорт и стиль для геймеров и всех, кто проводит долгие часы за компьютером. За ним вы почувствуете себя 100% победителем.

Особенности:
Столешница поднимается и опускается расположенными с двух сторон моторами TiMOTION
HEX - RGB подсветка
Надежная металлическая рама
Канавки для кабель-менеджмента
Регулируемые ножки для обеспечения 100% устойчивости
Эргономичный дизайн


Не важно, какого вы роста - два надежных мотора TiMOTION поднимут и опустят столешницу на высоту от 66 до 131 см. Вы сможете находиться за компьютером и сидя, и стоя, и развалившись в кресле, и сидя прямо. Вместо скучных прямых углов – трапециевидный дизайн «истребитель», более комфортный для запястий и предплечий даже после многочасовой сессии за компьютером.

СОЗДАЙТЕ СВОЮ ИГРОВУЮ СТАНЦИЮ
Превратите своё рабочее место с игровым столом ThunderX3 AD7 в комфортное место для игр.

РАЗРАБОТАН ДЛЯ КИБЕРСПОРТСМЕНОВ
Благодаря высококачественным материалам, конструкция компьютерного стола AD7 имеет прочную стальную раму, обеспечивающую долговечность и дополнительную поддержку. Металлические крылья по бокам стола добавляют агрессивности в общий стиль.

ПОДСВЕТКА HEX ИЗ 16.8 МИЛЛИОНОВ ЦВЕТОВ
Изменяйте эффекты подсветки из 16,8 миллионов цветов компьютерного стоила AD3 одним нажатием кнопки на беспроводном пульте дистанционного управления HEX

СПЕЦИАЛЬНАЯ ПОВЕРХНОСТЬ СТОЛА
Специальная текстурированная поверхность стола AD7, позволяет использовать игровую мышь без коврика и гарантирует сверхточную работу сенсора без срывов.

КАБЕЛЬ МЕНЕДЖМЕНТ
Встроенные канавки на столе позволяют эффективно управлять кабель-менеджментом, обеспечивая грамотное распределение места на столе.",AD7-M,Игровой,Черный,120 см,50 кг,HEX-RGB,Пульт ДУ с магнитным креплением,Высококачественный ДСП толщиной 25 мм с влагозащищенной поверхностью,"Сталь, покрытая порошковой краской",Фиксированная,USB-порт (USB адаптер в комплект не входит),1.8 м,128 x 70 x 74 см,55 кг,1 год,55 кг
"AD7-L/1.png///AD7-L/2.png///AD7-L/3.png///AD7-L/5.png///AD7-L/6.png///AD7-L/7.png///AD7-L/8.png///AD7-L/9.png///AD7-L/10.png///AD7-L/11.png
",Игровые столы///ThunderX3,AD7-L,ThunderX3,Игровой компьютерный стол ThunderX3 AD7-HEX L,"Компьютерный стол ThunderX3 AD7 обеспечивает максимальную производительность, комфорт и стиль для геймеров и всех, кто проводит долгие часы за компьютером. За ним вы почувствуете себя 100% победителем.

Особенности:
Столешница поднимается и опускается расположенными с двух сторон моторами TiMOTION
HEX - RGB подсветка
Надежная металлическая рама
Канавки для кабель-менеджмента
Регулируемые ножки для обеспечения 100% устойчивости
Эргономичный дизайн


Не важно, какого вы роста - два надежных мотора TiMOTION поднимут и опустят столешницу на высоту от 66 до 131 см. Вы сможете находиться за компьютером и сидя, и стоя, и развалившись в кресле, и сидя прямо. Вместо скучных прямых углов – трапециевидный дизайн «истребитель», более комфортный для запястий и предплечий даже после многочасовой сессии за компьютером.

СОЗДАЙТЕ СВОЮ ИГРОВУЮ СТАНЦИЮ
Превратите своё рабочее место с игровым столом ThunderX3 AD7 в комфортное место для игр.

РАЗРАБОТАН ДЛЯ КИБЕРСПОРТСМЕНОВ
Благодаря высококачественным материалам, конструкция компьютерного стола AD7 имеет прочную стальную раму, обеспечивающую долговечность и дополнительную поддержку. Металлические крылья по бокам стола добавляют агрессивности в общий стиль.

ПОДСВЕТКА HEX ИЗ 16.8 МИЛЛИОНОВ ЦВЕТОВ
Изменяйте эффекты подсветки из 16,8 миллионов цветов компьютерного стоила AD3 одним нажатием кнопки на беспроводном пульте дистанционного управления HEX

СПЕЦИАЛЬНАЯ ПОВЕРХНОСТЬ СТОЛА
Специальная текстурированная поверхность стола AD7, позволяет использовать игровую мышь без коврика и гарантирует сверхточную работу сенсора без срывов.

КАБЕЛЬ МЕНЕДЖМЕНТ
Встроенные канавки на столе позволяют эффективно управлять кабель-менеджментом, обеспечивая грамотное распределение места на столе.",AD7-L,Игровой,Черный,160 см,50 кг,HEX-RGB,Пульт ДУ с магнитным креплением,Высококачественный ДСП толщиной 25 мм с влагозащищенной поверхностью,"Сталь, покрытая порошковой краской",Фиксированная,USB-порт (USB адаптер в комплект не входит),1.8 м,168 x 70 x 74 см,55 кг,1 год,55 кг